2023-09-28 17:33:19.565 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-09-28 17:33:23.725 [pool-7-thread-10] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 12 is calling 
2023-09-28 17:33:23.726 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.726 [pool-7-thread-5] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 19 is returning 
2023-09-28 17:33:23.726 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.726 [pool-7-thread-5] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 26
2023-09-28 17:33:23.726 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.726 [pool-7-thread-5] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 19 is calling 
2023-09-28 17:33:23.726 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.726 [pool-7-thread-6] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 20 is returning 
2023-09-28 17:33:23.726 [pool-7-thread-2] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 16 is returning 
2023-09-28 17:33:23.726 [pool-7-thread-6] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 27
2023-09-28 17:33:23.727 [pool-7-thread-2] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 27
2023-09-28 17:33:23.727 [pool-7-thread-6] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 16 is calling 
2023-09-28 17:33:23.727 [pool-7-thread-2] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 20 is calling 
